GE!1418P!AP!!39401000036106!ticagrelor!35461000036107!ticagrelor 90 mg tablet, 56!Brilinta!35451000036109!Brilinta 90 mg tablet, 56!!56!114.52!114.52!
GE!9153R!BY!!37716011000036100!pramipexole!38827011000036103!pramipexole dihydrochloride monohydrate 1 mg tablet, 100!Sifrol!36946011000036100!Sifrol 1 mg tablet, 100!!100!72.59!72.59!
GE!9153R!TX!!37716011000036100!pramipexole!38827011000036103!pramipexole dihydrochloride monohydrate 1 mg tablet, 100!APO-Pramipexole!697191000168107!Pramipexole (Apo) 1 mg tablet, 100!!100!72.59!72.59!
GE!9153R!AF!!37716011000036100!pramipexole!38827011000036103!pramipexole dihydrochloride monohydrate 1 mg tablet, 100!Simpral!677711000168105!Simpral 1 mg tablet, 100!!100!72.59!72.59!
GE!9153R!EA!!37716011000036100!pramipexole!38827011000036103!pramipexole dihydrochloride monohydrate 1 mg tablet, 100!Pramipexole AN!666741000168104!Pramipexole Hydrochloride (AN) 1 mg tablet, 100!!100!72.59!72.59!
GE!9153R!RW!!37716011000036100!pramipexole!38827011000036103!pramipexole dihydrochloride monohydrate 1 mg tablet, 100!Simipex 1!43071000036109!Simipex 1 mg tablet, 100!!100!72.59!72.59!
GE!9112N!AF!!21401011000036104!imatinib!28143011000036104!imatinib 400 mg tablet, 30!Glivec!14093011000036104!Glivec 400 mg tablet, 30!!30!832.35!832.35!
GE!9313E!AF!!83422011000036102!rizatriptan!83498011000036109!rizatriptan 10 mg wafer, 2!Rizatriptan Wafers-10mg!733541000168100!Rizatriptan (MSD) 10 mg wafer, 2!!4!4.09!4.09!
GE!9313E!AL!!83422011000036102!rizatriptan!83498011000036109!rizatriptan 10 mg wafer, 2!Maxalt!83331011000036104!Maxalt 10 mg wafer, 2!!4!4.09!4.09!
GE!9176Y!CR!!21401011000036104!imatinib!28142011000036106!imatinib 100 mg tablet, 60!Gilmat!1347261000168106!Gilmat 100 mg tablet, 60!!60!416.18!416.18!
GE!9176Y!RA!!21401011000036104!imatinib!28142011000036106!imatinib 100 mg tablet, 60!IMATINIB RBX!828981000168108!Imatinib (RBX) 100 mg tablet, 60!!60!416.18!416.18!
GE!9176Y!AF!!21401011000036104!imatinib!28142011000036106!imatinib 100 mg tablet, 60!Glivec!14092011000036106!Glivec 100 mg tablet, 60!!60!416.18!416.18!
GE!9176Y!SZ!!21401011000036104!imatinib!28142011000036106!imatinib 100 mg tablet, 60!Imatinib-Teva!829161000168106!Imatinib (Teva) 100 mg tablet, 60!!60!416.18!416.18!
GE!9100Y!VE!!21584011000036107!adalimumab!729821000168108!adalimumab 40 mg/0.8 mL injection, 2 x 0.8 mL pen devices!Humira!729831000168106!Humira 40 mg/0.8 mL injection, 2 x 0.8 mL pen devices!!2!979.56!979.56!
GE!9086F!PF!!21347011000036107!etanercept!79241011000036109!etanercept 50 mg/mL injection, 4 x 1 mL syringes!Enbrel!933223531000036103!Enbrel 50 mg/mL injection, 4 x 1 mL syringes!!1!939.25!939.25!
GE!9086F!MK!!21347011000036107!etanercept!79241011000036109!etanercept 50 mg/mL injection, 4 x 1 mL syringes!Brenzys!880521000168109!Brenzys 50 mg/mL injection, 4 x 1 mL syringes!!1!939.25!939.25!
GE!9292C!SZ!!21653011000036109!levodopa + carbidopa + entacapone!51558011000036100!levodopa 200 mg + carbidopa 50 mg + entacapone 200 mg tablet, 100!Stalevo 200/50/200mg!49680011000036102!Stalevo 200/50/200 tablet, 100!!200!130.86!130.86!
GE!9292C!TX!!21653011000036109!levodopa + carbidopa + entacapone!51558011000036100!levodopa 200 mg + carbidopa 50 mg + entacapone 200 mg tablet, 100!Carlevent!906001000168104!Carlevent 200/50/200 tablet, 100!!200!130.86!130.86!
GE!9292C!TB!!21653011000036109!levodopa + carbidopa + entacapone!51558011000036100!levodopa 200 mg + carbidopa 50 mg + entacapone 200 mg tablet, 100!Lecteva!1483311000168105!Lecteva 200/50/200 tablet, 100!!200!130.86!130.86!
GE!9330C!SB!!84410011000036105!amino acid formula with fat, carbohydrate, vitamins, minerals and trace elements without phenylalanine and tyrosine, and supplemented with docosahexaenoic acid!724891000168106!amino acid formula with fat, carbohydrate, vitamins, minerals and trace elements without phenylalanine and tyrosine, and supplemented with docosahexaenoic acid oral liquid, 36 x 125 mL bottles!TYR Anamix junior LQ!724901000168105!TYR Anamix Junior LQ oral liquid, 36 x 125 mL bottles!!4!504.79!504.79!
GE!8965W!VE!!21584011000036107!adalimumab!729821000168108!adalimumab 40 mg/0.8 mL injection, 2 x 0.8 mL pen devices!Humira!729831000168106!Humira 40 mg/0.8 mL injection, 2 x 0.8 mL pen devices!!2!979.56!979.56!
GE!9037P!PF!!21347011000036107!etanercept!28011011000036101!etanercept 25 mg injection [4 vials] (&) inert substance diluent [4 x 1 mL syringes], 1 pack!Enbrel!13920011000036109!Enbrel (4 x 25 mg vials, 4 x 1 mL inert diluent syringes), 1 pack!!2!469.63!469.63!
GE!9181F!MK!!39426011000036109!sitagliptin!39484011000036106!sitagliptin 50 mg tablet, 28!Januvia!39287011000036104!Januvia 50 mg tablet, 28!!28!37.91!37.91!
GE!9113P!SZ!!21401011000036104!imatinib!28142011000036106!imatinib 100 mg tablet, 60!Imatinib-Teva!829161000168106!Imatinib (Teva) 100 mg tablet, 60!!60!416.18!416.18!
GE!9113P!RA!!21401011000036104!imatinib!28142011000036106!imatinib 100 mg tablet, 60!IMATINIB RBX!828981000168108!Imatinib (RBX) 100 mg tablet, 60!!60!416.18!416.18!
GE!9113P!AF!!21401011000036104!imatinib!28142011000036106!imatinib 100 mg tablet, 60!Glivec!14092011000036106!Glivec 100 mg tablet, 60!!60!416.18!416.18!
GE!9113P!CR!!21401011000036104!imatinib!28142011000036106!imatinib 100 mg tablet, 60!Gilmat!1347261000168106!Gilmat 100 mg tablet, 60!!60!416.18!416.18!
GE!8981Q!FI!!931788011000036101!telmisartan + amlodipine!932440011000036101!telmisartan 80 mg + amlodipine 10 mg tablet, 28!Pritor/Amlodipine!649381000168108!Pritor/Amlodipine 80 mg/10 mg tablet, 28!!28!6.15!6.15!0.00
GE!8981Q!BY!!931788011000036101!telmisartan + amlodipine!932440011000036101!telmisartan 80 mg + amlodipine 10 mg tablet, 28!Twynsta!930827011000036101!Twynsta 80/10 mg tablet, 28!!28!6.15!10.33!
GE!8966X!VE!!21584011000036107!adalimumab!729821000168108!adalimumab 40 mg/0.8 mL injection, 2 x 0.8 mL pen devices!Humira!729831000168106!Humira 40 mg/0.8 mL injection, 2 x 0.8 mL pen devices!!2!979.56!979.56!
GE!9218E!PE!!35692011000036108!paraffin!35761011000036105!paraffin 1 g/g eye ointment, 2 x 3.5 g!Ircal!35552011000036108!Ircal 1 g/g eye ointment, 2 x 3.5 g!!1!11.47!11.47!0.00
GE!9218E!AG!!35692011000036108!paraffin!35761011000036105!paraffin 1 g/g eye ointment, 2 x 3.5 g!Refresh Night Time!138691000036103!Refresh Night Time 1 g/g eye ointment, 2 x 3.5 g!!1!11.47!13.18!
GE!9218E!IQ!!35692011000036108!paraffin!35761011000036105!paraffin 1 g/g eye ointment, 2 x 3.5 g!Poly Visc!35561011000036109!Poly Visc 1 g/g eye ointment, 2 x 3.5 g!!1!11.47!11.47!
GE!8957K!PF!!21450011000036103!dalteparin sodium!27585011000036109!dalteparin sodium 10 000 anti-Xa units/mL injection, 10 x 1 mL syringes!Fragmin!13166011000036101!Fragmin 10 000 anti-Xa units/mL injection, 10 x 1 mL syringes!!30!58.08!58.08!
GE!9140C!JC!!34837011000036104!paliperidone!35119011000036100!paliperidone 3 mg modified release tablet, 28!Invega!34250011000036105!Invega 3 mg modified release tablet, 28!!28!52.90!52.90!
GE!9012H!GX!!21250011000036104!alendronate + colecalciferol!26653011000036106!alendronate 70 mg + colecalciferol 70 microgram (2800 units) tablet, 4!ALENDRONATE PLUS D3 70mg/70ug APOTEX!845491000168105!Alendronate Plus D3 70 mg/70 microgram (Apotex) tablet, 4!!4!6.37!6.37!0.00
GE!9012H!RZ!!21250011000036104!alendronate + colecalciferol!26653011000036106!alendronate 70 mg + colecalciferol 70 microgram (2800 units) tablet, 4!Alendronate plus D3-DRLA!668271000168103!Alendronate with Colecalciferol 70 mg/70 microgram (DRLA) tablet, 4!!4!6.37!6.37!0.00
GE!9012H!AF!!21250011000036104!alendronate + colecalciferol!26653011000036106!alendronate 70 mg + colecalciferol 70 microgram (2800 units) tablet, 4!FonatPlus!668141000168102!Fonatplus 70 mg/70 microgram tablet, 4!!4!6.37!6.37!0.00
GE!9012H!MQ!!21250011000036104!alendronate + colecalciferol!26653011000036106!alendronate 70 mg + colecalciferol 70 microgram (2800 units) tablet, 4!Fosamax Plus!11447011000036100!Fosamax Plus Once Weekly 70 mg/70 microgram tablet, 4!!4!6.37!10.09!
GE!9012H!SZ!!21250011000036104!alendronate + colecalciferol!26653011000036106!alendronate 70 mg + colecalciferol 70 microgram (2800 units) tablet, 4!Alendronate Plus D3 Sandoz!718781000168100!Alendronate Plus D3 70 mg/70 microgram (Sandoz) tablet, 4!!4!6.37!6.37!0.00
GE!8977L!AE!!21370011000036105!phenoxymethylpenicillin!932401011000036100!phenoxymethylpenicillin 250 mg/5 mL powder for oral liquid, 100 mL!Phenoxymethylpenicillin-AFT!930685011000036107!Phenoxymethylpenicillin (AFT) 250 mg/5 mL powder for oral liquid, 100 mL!!2!4.18!4.18!
GE!9305R!JC!!82917011000036103!ustekinumab!82991011000036107!ustekinumab 45 mg/0.5 mL injection, 0.5 mL vial!Stelara!82770011000036101!Stelara 45 mg/0.5 mL injection, 0.5 mL vial!!1!3809.08!3809.08!
GE!9309Y!VF!!83419011000036102!triglycerides long chain with glucose polymer!745391000168103!triglycerides long chain with glucose polymer oral liquid, 6 x 1 L cartons!ProZero!745401000168101!Prozero oral liquid, 6 x 1 L cartons!!4!55.58!55.58!
GE!9208P!PF!!21923011000036107!sulfasalazine!27402011000036108!sulfasalazine 500 mg tablet, 100!Salazopyrin!12033011000036102!Salazopyrin 500 mg tablet, 100!!200!18.30!18.30!
GE!9008D!RW!!21362011000036102!perindopril!26558011000036105!perindopril arginine 10 mg tablet, 30!PREXUM 10!150281000036104!Prexum 10 mg tablet, 30!!30!4.07!4.07!0.00
GE!9008D!SE!!21362011000036102!perindopril!26558011000036105!perindopril arginine 10 mg tablet, 30!Coversyl 10mg!11219011000036100!Coversyl 10 mg tablet, 30!!30!4.07!11.03!
GE!9008D!TX!!21362011000036102!perindopril!26558011000036105!perindopril arginine 10 mg tablet, 30!APO-Perindopril Arginine!808131000168103!Perindopril Arginine (Apo) 10 mg tablet, 30!!30!4.07!4.07!0.00
GE!9105F!HX!!21784011000036108!doxycycline!27888011000036102!doxycycline 100 mg tablet, 7!Doxycycline Sandoz!123141000036108!Doxycycline (Sandoz) 100 mg tablet, 7!!7!1.36!1.36!0.00
GE!9105F!TX!!21784011000036108!doxycycline!27888011000036102!doxycycline 100 mg tablet, 7!APO-Doxycycline!918851000168109!Doxycycline (Apo) 100 mg tablet, 7!!7!1.36!1.36!0.00
GE!9144G!GO!!37713011000036106!lercanidipine + enalapril!84614011000036103!lercanidipine hydrochloride 10 mg + enalapril maleate 10 mg tablet, 28!Zan-Extra 10/10!83960011000036106!Zan-Extra 10/10 tablet, 28!!28!4.63!4.63!
GE!9152Q!RW!!37716011000036100!pramipexole!38825011000036108!pramipexole dihydrochloride monohydrate 250 microgram tablet, 100!Simipex 0.25!43061000036101!Simipex 250 microgram tablet, 100!!100!16.63!16.63!
GE!9152Q!TX!!37716011000036100!pramipexole!38825011000036108!pramipexole dihydrochloride monohydrate 250 microgram tablet, 100!APO-Pramipexole!697251000168109!Pramipexole (Apo) 250 microgram tablet, 100!!100!16.63!16.63!
GE!9152Q!AF!!37716011000036100!pramipexole!38825011000036108!pramipexole dihydrochloride monohydrate 250 microgram tablet, 100!Simpral!677741000168109!Simpral 250 microgram tablet, 100!!100!16.63!16.63!
GE!9152Q!EA!!37716011000036100!pramipexole!38825011000036108!pramipexole dihydrochloride monohydrate 250 microgram tablet, 100!Pramipexole AN!666791000168107!Pramipexole Hydrochloride (AN) 250 microgram tablet, 100!!100!16.63!16.63!
GE!9152Q!BY!!37716011000036100!pramipexole!38825011000036108!pramipexole dihydrochloride monohydrate 250 microgram tablet, 100!Sifrol!36944011000036108!Sifrol 250 microgram tablet, 100!!100!16.63!16.63!
GE!9315G!SZ!!21285011000036104!candesartan + hydrochlorothiazide!83494011000036102!candesartan cilexetil 32 mg + hydrochlorothiazide 25 mg tablet, 30!Candesartan/HCT Sandoz!135241000036100!Candesartan/HCT 32 mg/25 mg (Sandoz) tablet, 30!!30!5.59!5.59!0.00
GE!9315G!RW!!21285011000036104!candesartan + hydrochlorothiazide!83494011000036102!candesartan cilexetil 32 mg + hydrochlorothiazide 25 mg tablet, 30!Candesartan Combi Aspen 32/25!128741000036103!Candesartan Cilexetil Combi 32/25 (Aspen) tablet, 30!!30!5.59!5.59!0.00
GE!9315G!DO!!21285011000036104!candesartan + hydrochlorothiazide!83494011000036102!candesartan cilexetil 32 mg + hydrochlorothiazide 25 mg tablet, 30!Asartan HCT 32/25!737031000168107!Asartan HCT 32/25 tablet, 30!!30!5.59!5.59!0.00
GE!9315G!RF!!21285011000036104!candesartan + hydrochlorothiazide!83494011000036102!candesartan cilexetil 32 mg + hydrochlorothiazide 25 mg tablet, 30!CANDESAN COMBI 32/25!886811000168102!Candesan Combi 32/25 tablet, 30!!30!5.59!5.59!0.00
GE!9315G!EA!!21285011000036104!candesartan + hydrochlorothiazide!83494011000036102!candesartan cilexetil 32 mg + hydrochlorothiazide 25 mg tablet, 30!Candesartan HCTZ AN 32/25!659461000168107!Candesartan Cilexetil HCTZ 32/25 (AN) tablet, 30!!30!5.59!5.59!0.00
GE!9315G!GQ!!21285011000036104!candesartan + hydrochlorothiazide!83494011000036102!candesartan cilexetil 32 mg + hydrochlorothiazide 25 mg tablet, 30!Candesartan HCT GH 32/25!128771000036105!Candesartan HCT 32/25 (GH) tablet, 30!!30!5.59!5.59!0.00
GE!9315G!AP!!21285011000036104!candesartan + hydrochlorothiazide!83494011000036102!candesartan cilexetil 32 mg + hydrochlorothiazide 25 mg tablet, 30!Atacand Plus 32/25!83323011000036100!Atacand Plus 32/25 tablet, 30!!30!5.59!18.12!
GE!9315G!AF!!21285011000036104!candesartan + hydrochlorothiazide!83494011000036102!candesartan cilexetil 32 mg + hydrochlorothiazide 25 mg tablet, 30!Adesan HCT 32/25!649301000168100!Adesan HCT 32/25 tablet, 30!!30!5.59!5.59!0.00
GE!9315G!IB!!21285011000036104!candesartan + hydrochlorothiazide!83494011000036102!candesartan cilexetil 32 mg + hydrochlorothiazide 25 mg tablet, 30!Blooms the Chemist Candesartan HCTZ 32/25!795581000168103!Candesartan HCTZ 32/25 (Blooms The Chemist) tablet, 30!!30!5.59!5.59!0.00
GE!9315G!TX!!21285011000036104!candesartan + hydrochlorothiazide!83494011000036102!candesartan cilexetil 32 mg + hydrochlorothiazide 25 mg tablet, 30!APO-Candesartan HCTZ 32/25!128121000036107!Candesartan HCTZ 32/25 (Apo) tablet, 30!!30!5.59!5.59!0.00
GE!9290Y!EA!!21650011000036101!atomoxetine!51555011000036106!atomoxetine 100 mg capsule, 28!Atomoxetine Amneal!816751000168109!Atomoxetine (Amneal) 100 mg capsule, 28!!28!47.01!47.01!
GE!9290Y!TX!!21650011000036101!atomoxetine!51555011000036106!atomoxetine 100 mg capsule, 28!APO-Atomoxetine!830151000168104!Atomoxetine (Apo) 100 mg capsule, 28!!28!47.01!47.01!
GE!9290Y!SZ!!21650011000036101!atomoxetine!51555011000036106!atomoxetine 100 mg capsule, 28!Atomoxetine Sandoz!895981000168109!Atomoxetine (Sandoz) 100 mg capsule, 28!!28!47.01!47.01!
GE!9290Y!LY!!21650011000036101!atomoxetine!51555011000036106!atomoxetine 100 mg capsule, 28!Strattera!49677011000036109!Strattera 100 mg capsule, 28!!28!47.01!47.01!
GE!9290Y!RW!!21650011000036101!atomoxetine!51555011000036106!atomoxetine 100 mg capsule, 28!ATOMERRA!870001000168100!Atomerra 100 mg capsule, 28!!28!47.01!47.01!
GE!9314F!AP!!21285011000036104!candesartan + hydrochlorothiazide!83492011000036106!candesartan cilexetil 32 mg + hydrochlorothiazide 12.5 mg tablet, 30!Atacand Plus 32/12.5!83321011000036101!Atacand Plus 32/12.5 tablet, 30!!30!4.82!17.35!
GE!9314F!TX!!21285011000036104!candesartan + hydrochlorothiazide!83492011000036106!candesartan cilexetil 32 mg + hydrochlorothiazide 12.5 mg tablet, 30!APO-Candesartan HCTZ 32/12.5!135291000036106!Candesartan HCTZ 32/12.5 (Apo) tablet, 30!!30!4.82!4.82!0.00
GE!9314F!IB!!21285011000036104!candesartan + hydrochlorothiazide!83492011000036106!candesartan cilexetil 32 mg + hydrochlorothiazide 12.5 mg tablet, 30!Blooms the Chemist Candesartan HCTZ 32/12.5!793471000168104!Candesartan HCTZ 32/12.5 (Blooms The Chemist) tablet, 30!!30!4.82!4.82!0.00
GE!9314F!AF!!21285011000036104!candesartan + hydrochlorothiazide!83492011000036106!candesartan cilexetil 32 mg + hydrochlorothiazide 12.5 mg tablet, 30!Adesan HCT 32/12.5!649261000168108!Adesan HCT 32/12.5 tablet, 30!!30!4.82!4.82!0.00
GE!9314F!RF!!21285011000036104!candesartan + hydrochlorothiazide!83492011000036106!candesartan cilexetil 32 mg + hydrochlorothiazide 12.5 mg tablet, 30!CANDESAN COMBI 32/12.5!886851000168101!Candesan Combi 32/12.5 tablet, 30!!30!4.82!4.82!0.00
GE!9314F!SZ!!21285011000036104!candesartan + hydrochlorothiazide!83492011000036106!candesartan cilexetil 32 mg + hydrochlorothiazide 12.5 mg tablet, 30!Candesartan/HCT Sandoz!135251000036102!Candesartan/HCT 32 mg/12.5 mg (Sandoz) tablet, 30!!30!4.82!4.82!0.00
GE!9314F!RW!!21285011000036104!candesartan + hydrochlorothiazide!83492011000036106!candesartan cilexetil 32 mg + hydrochlorothiazide 12.5 mg tablet, 30!Candesartan Combi Aspen 32/12.5!128731000036108!Candesartan Cilexetil Combi 32/12.5 (Aspen) tablet, 30!!30!4.82!4.82!0.00
GE!9314F!EA!!21285011000036104!candesartan + hydrochlorothiazide!83492011000036106!candesartan cilexetil 32 mg + hydrochlorothiazide 12.5 mg tablet, 30!Candesartan HCTZ AN 32/12.5!659501000168107!Candesartan Cilexetil HCTZ 32/12.5 (AN) tablet, 30!!30!4.82!4.82!0.00
GE!9314F!GQ!!21285011000036104!candesartan + hydrochlorothiazide!83492011000036106!candesartan cilexetil 32 mg + hydrochlorothiazide 12.5 mg tablet, 30!Candesartan HCT GH 32/12.5!128761000036102!Candesartan HCT 32/12.5 (GH) tablet, 30!!30!4.82!4.82!0.00
GE!9314F!DO!!21285011000036104!candesartan + hydrochlorothiazide!83492011000036106!candesartan cilexetil 32 mg + hydrochlorothiazide 12.5 mg tablet, 30!Asartan HCT 32/12.5!737081000168108!Asartan HCT 32/12.5 tablet, 30!!30!4.82!4.82!0.00
GE!9171Q!NV!!39428011000036108!nilotinib!163671000036102!nilotinib 200 mg capsule, 120!Tasigna!163661000036105!Tasigna 200 mg capsule, 120!!120!4895.54!4895.54!
GE!9121C!TX!!21395011000036107!ramipril!32762011000036101!ramipril 2.5 mg capsule, 30!APO-Ramipril!43241000036107!Ramipril (Apo) 2.5 mg capsule, 30!!30!1.39!1.39!
GE!9121C!AF!!21395011000036107!ramipril!32762011000036101!ramipril 2.5 mg capsule, 30!Tryzan Caps 2.5!32341011000036104!Tryzan 2.5 mg capsule, 30!!30!1.39!1.39!
GE!8960N!PF!!21450011000036103!dalteparin sodium!46781000036103!dalteparin sodium 18 000 anti-Xa units/0.72 mL injection, 10 x 0.72 mL syringes!Fragmin!46771000036100!Fragmin 18 000 anti-Xa units/0.72 mL injection, 10 x 0.72 mL syringes!!30!117.96!117.96!
GE!9050H!AF!!21361011000036108!amlodipine + atorvastatin!26543011000036103!amlodipine 5 mg + atorvastatin 20 mg tablet, 30!Cadivast 5/20!174941000036107!Cadivast 5/20 tablet, 30!!30!2.93!2.93!
GE!9327X!SB!!50747011000036106!medium chain triglycerides!84611011000036101!medium chain triglycerides oral liquid, 250 mL bottle!Liquigen!105941000144101!Liquigen oral liquid emulsion, 250 mL bottles!!8!17.95!17.95!
GE!9391G!TT!!21476011000036103!risedronate!78194011000036101!risedronate sodium 150 mg tablet, 1!Actonel Once-a-Month!76665011000036109!Actonel Once-a-Month 150 mg tablet, 1!!1!24.21!24.21!
GE!9391G!AF!!21476011000036103!risedronate!78194011000036101!risedronate sodium 150 mg tablet, 1!Acris Once-a-Month!120811000036107!Acris Once-a-Month 150 mg tablet, 1!!1!24.21!24.21!
GE!9391G!TX!!21476011000036103!risedronate!78194011000036101!risedronate sodium 150 mg tablet, 1!APO-Risedronate!71791000036106!Risedronate (Apo) 150 mg tablet, 1!!1!24.21!24.21!
GE!9349C!RW!!86190011000036102!perindopril + amlodipine!86430011000036105!perindopril arginine 10 mg + amlodipine 10 mg tablet, 30!Reaptan 10/10!926214011000036103!Reaptan 10mg/10mg (perindopril arginine/amlodipine) tablet, 30!!30!5.54!5.54!0.00
GE!9349C!TX!!86190011000036102!perindopril + amlodipine!86430011000036105!perindopril arginine 10 mg + amlodipine 10 mg tablet, 30!APO-Perindopril Arginine/Amlodipine 10/10!808831000168109!Perindopril Arginine/Amlodipine 10/10 (Apo) tablet, 30!!30!5.54!5.54!0.00
GE!9349C!SE!!86190011000036102!perindopril + amlodipine!86430011000036105!perindopril arginine 10 mg + amlodipine 10 mg tablet, 30!Coveram 10/10!85684011000036107!Coveram 10mg/10mg (perindopril arginine/amlodipine) tablet, 30!!30!5.54!12.89!
GE!8978M!BY!!931788011000036101!telmisartan + amlodipine!932434011000036105!telmisartan 40 mg + amlodipine 5 mg tablet, 28!Twynsta!930821011000036109!Twynsta 40/5 mg tablet, 28!!28!2.42!6.60!
GE!8978M!FI!!931788011000036101!telmisartan + amlodipine!932434011000036105!telmisartan 40 mg + amlodipine 5 mg tablet, 28!Pritor/Amlodipine!650021000168103!Pritor/Amlodipine 40 mg/5 mg tablet, 28!!28!2.42!2.42!0.00
GE!9245N!RA!!21242011000036102!simvastatin!28271011000036102!simvastatin 80 mg tablet, 30!Ransim!11646011000036101!Ransim 80 mg tablet, 30!!30!3.10!3.10!
GE!9245N!AF!!21242011000036102!simvastatin!28271011000036102!simvastatin 80 mg tablet, 30!Zimstat!14125011000036101!Zimstat 80 mg tablet, 30!!30!3.10!3.10!
GE!9245N!TX!!21242011000036102!simvastatin!28271011000036102!simvastatin 80 mg tablet, 30!APO-Simvastatin!73123011000036107!Simvastatin (Apo) 80 mg tablet, 30!!30!3.10!3.10!
